Year;RGIID;BREID;DateMinPrevYear;DateMax;DateMin;Area;Bw;Bs;Ba;Bcalv
1966;RGI60-08.02963;3127;09.10.1965;18.04.1966;28.10.1966;9.686;1.54;-2.88;-1.34;
1967;RGI60-08.02963;3127;28.10.1966;29.04.1967;24.11.1967;9.686;3.00;-1.70;1.30;
1968;RGI60-08.02963;3127;24.11.1967;15.03.1968;06.10.1968;9.686;3.46;-2.84;0.62;
1974;RGI60-08.02963;3127;;22.05.1974;09.10.1974;9.686;2.17;-1.55;0.62;
1975;RGI60-08.02963;3127;09.10.1974;27.04.1975;07.09.1975;9.686;2.57;-2.28;0.28;
2003;RGI60-08.02963;3127;09.10.2002;31.05.2003;20.09.2003;8.411;1.91;-4.09;-2.18;
2004;RGI60-08.02963;3127;20.09.2003;27.05.2004;29.09.2004;8.411;2.05;-2.82;-0.76;
2005;RGI60-08.02963;3127;29.09.2004;26.04.2005;07.10.2005;8.411;3.15;-3.13;0.02;
2006;RGI60-08.02963;3127;07.10.2005;28.04.2006;10.10.2006;8.411;1.40;-4.55;-3.15;
2007;RGI60-08.02963;3127;10.10.2006;27.04.2007;27.09.2007;8.411;3.60;-2.85;0.75;
2008;RGI60-08.02963;3127;27.09.2007;22.04.2008;23.09.2008;8.411;2.66;-2.80;-0.14;
2009;RGI60-08.02963;3127;23.09.2008;29.04.2009;13.10.2009;8.411;2.34;-2.88;-0.54;
2010;RGI60-08.02963;3127;13.10.2009;05.05.2010;28.09.2010;8.411;1.51;-3.35;-1.84;
2011;RGI60-08.02963;3127;28.09.2010;29.04.2011;01.10.2011;8.048;1.89;-4.09;-2.20;
2012;RGI60-08.02963;3127;01.10.2011;02.05.2012;12.10.2012;8.048;2.94;-1.73;1.21;
2013;RGI60-08.02963;3127;12.10.2012;01.05.2013;24.09.2013;8.048;NA;NA;-1.15;
1963;RGI60-08.02962;3128;;27.04.1963;02.10.1963;3.922;1.11;-2.40;-1.28;
1964;RGI60-08.02962;3128;02.10.1963;03.05.1964;01.10.1964;3.922;1.79;-1.71;0.08;
1965;RGI60-08.02962;3128;01.10.1964;25.03.1965;10.10.1965;3.922;1.70;-2.26;-0.56;
1966;RGI60-08.02962;3128;10.10.1965;15.04.1966;25.10.1966;3.922;1.55;-3.23;-1.68;
1967;RGI60-08.02962;3128;25.10.1966;01.05.1967;24.11.1967;3.922;2.94;-1.72;1.23;
1968;RGI60-08.02962;3128;24.11.1967;15.03.1968;06.11.1968;3.922;3.44;-2.69;0.75;
2003;RGI60-08.02962;3128;09.10.2002;31.05.2003;20.09.2003;3.37;2.12;-4.38;-2.26;
2004;RGI60-08.02962;3128;20.09.2003;27.05.2004;29.09.2004;3.37;2.25;-3.12;-0.87;
2005;RGI60-08.02962;3128;29.09.2004;27.04.2005;07.10.2005;3.37;3.04;-3.37;-0.33;
2006;RGI60-08.02962;3128;07.10.2005;28.04.2006;10.10.2006;3.37;1.49;-4.44;-2.95;
2007;RGI60-08.02962;3128;10.10.2006;27.04.2007;27.09.2007;3.37;3.54;-3.07;0.47;
2008;RGI60-08.02962;3128;27.09.2007;22.04.2008;23.09.2008;3.37;2.66;-2.96;-0.30;
2009;RGI60-08.02962;3128;23.09.2008;29.04.2009;13.10.2009;3.37;2.47;-2.98;-0.52;
2010;RGI60-08.02962;3128;13.10.2009;05.05.2010;28.09.2010;3.37;1.60;-3.50;-1.91;
2011;RGI60-08.02962;3128;28.09.2010;29.04.2011;01.10.2011;3.211;1.88;-4.16;-2.28;
2012;RGI60-08.02962;3128;01.10.2011;02.05.2012;12.10.2012;3.211;3.19;-2.06;1.13;
2013;RGI60-08.02962;3128;12.10.2012;01.05.2013;24.09.2013;3.211;NA;NA;-1.11;
1964;RGI60-08.02643;3129;;28.05.1964;04.10.1964;1.848;2.23;-1.55;0.68;
1965;RGI60-08.02643;3129;04.10.1964;28.03.1965;08.10.1965;1.848;1.90;-2.08;-0.18;
1966;RGI60-08.02643;3129;08.10.1965;01.06.1966;28.10.1966;1.848;1.80;-3.13;-1.33;
1967;RGI60-08.02643;3129;28.10.1966;29.04.1967;24.11.1967;1.848;3.24;-2.04;1.19;
1968;RGI60-08.02643;3129;24.11.1967;01.06.1968;06.11.1968;1.848;3.25;-2.56;0.70;
1977;RGI60-08.02916;3133;;11.05.1977;20.09.1977;10.674;1.86;-3.00;-1.14;
1978;RGI60-08.02916;3133;20.09.1977;08.05.1978;28.08.1978;10.674;2.37;-2.90;-0.52;
1979;RGI60-08.02916;3133;28.08.1978;09.05.1979;01.10.1979;10.674;2.84;-2.65;0.20;
1980;RGI60-08.02916;3133;01.10.1979;24.04.1980;24.11.1980;10.674;2.33;-2.82;-0.49;
1981;RGI60-08.02916;3133;24.11.1980;30.04.1981;27.08.1981;10.674;3.38;-2.06;1.32;
1970;RGI60-08.02918;3137;;01.05.1970;01.09.1970;45.72;NA;NA;NA;
1971;RGI60-08.02918;3137;;10.04.1971;18.09.1971;45.72;2.86;-1.87;0.98;
1972;RGI60-08.02918;3137;18.09.1971;01.05.1972;12.09.1972;45.72;NA;NA;0.33;
1973;RGI60-08.02918;3137;12.09.1972;01.05.1973;04.10.1973;45.72;NA;NA;1.57;
1974;RGI60-08.02918;3137;04.10.1973;01.05.1974;10.10.1974;45.72;NA;NA;0.52;
2007;RGI60-08.02918;3137;;28.04.2007;28.09.2007;22.453;3.66;-2.59;1.07;
2008;RGI60-08.02918;3137;28.09.2007;21.04.2008;23.09.2008;22.453;3.17;-2.70;0.47;
2009;RGI60-08.02918;3137;23.09.2008;29.04.2009;13.10.2009;22.453;3.13;-3.02;0.11;
2010;RGI60-08.02918;3137;13.10.2009;04.05.2010;28.09.2010;22.453;1.55;-3.34;-1.79;
2011;RGI60-08.02918;3137;28.09.2010;28.04.2011;01.10.2011;22.346;2.43;-3.89;-1.46;
2012;RGI60-08.02918;3137;01.10.2011;03.05.2012;12.10.2012;22.346;3.17;-2.13;1.04;
2013;RGI60-08.02918;3137;12.10.2012;29.05.2013;24.09.2013;22.346;2.43;-3.36;-0.93;
2014;RGI60-08.02918;3137;24.09.2013;24.04.2014;14.10.2014;22.346;3.11;-3.81;-0.70;
2015;RGI60-08.02918;3137;14.10.2014;22.04.2015;14.10.2015;22.346;3.26;-1.67;1.58;
2016;RGI60-08.02918;3137;14.10.2015;28.04.2016;06.10.2016;22.337;3.13;-3.37;-0.24;
2017;RGI60-08.02918;3137;06.10.2016;02.05.2017;09.10.2017;22.337;2.79;-2.95;-0.16;
2017;RGI60-08.02920;3138;06.10.2016;02.05.2017;09.10.2017;15.488;3.13;-3.00;0.14;
2007;RGI60-08.02969;3141;;27.04.2007;28.09.2007;22.768;3.55;-2.42;1.13;
2008;RGI60-08.02969;3141;28.09.2007;21.04.2008;23.09.2008;22.768;2.92;-2.26;0.66;
2009;RGI60-08.02969;3141;23.09.2008;29.04.2009;13.10.2009;22.768;3.05;-2.64;0.41;
2010;RGI60-08.02969;3141;13.10.2009;04.05.2010;28.09.2010;22.768;1.57;-3.19;-1.62;
2011;RGI60-08.02969;3141;28.09.2010;28.04.2011;01.10.2011;22.541;2.14;-3.62;-1.47;
2012;RGI60-08.02969;3141;01.10.2011;03.05.2012;12.10.2012;22.541;2.98;-2.04;0.94;
2013;RGI60-08.02969;3141;12.10.2012;29.05.2013;24.09.2013;22.541;2.49;-3.29;-0.80;
2014;RGI60-08.02969;3141;24.09.2013;24.04.2014;14.10.2014;22.541;2.94;-3.68;-0.74;
2015;RGI60-08.02969;3141;14.10.2014;22.04.2015;14.10.2015;22.541;2.90;-1.54;1.36;
2016;RGI60-08.02969;3141;14.10.2015;28.04.2016;06.10.2016;22.539;2.92;-2.85;0.07;
2017;RGI60-08.02969;3141;06.10.2016;02.05.2017;09.10.2017;22.539;2.57;-2.92;-0.35;
