year,Ba,Bw,Bs,RGIID
1975,0.8631482463910114,1.5296395240994072,-0.666491277708396,RGI60-08.01258
1976,0.018177394596963437,1.8325689879065015,-1.8143915933095378,RGI60-08.01258
1977,-0.2888223061275777,0.9646186632292681,-1.253440969356846,RGI60-08.01258
1978,-0.4476652450696985,1.5186228585620358,-1.9662881036317348,RGI60-08.01258
1979,-0.7900801226064976,1.5183721133674941,-2.3084522359739914,RGI60-08.01258
1980,-1.7856657111703125,1.0462934132868125,-2.831959124457125,RGI60-08.01258
1981,0.2706256561340188,1.8564414145864996,-1.5858157584524806,RGI60-08.01258
1982,0.468407324203314,1.4890705505367254,-1.0206632263334114,RGI60-08.01258
1983,-0.3904531386694131,1.483889759296605,-1.874342897966018,RGI60-08.01258
1984,-0.4278273638880967,1.5324224699832403,-1.9602498338713368,RGI60-08.01258
1985,-0.7769587154508775,1.4033695394157197,-2.180328254866597,RGI60-08.01258
1986,-0.3846499712894421,1.815830198577426,-2.2004801698668683,RGI60-08.01258
1987,0.16151419515252052,1.5328903117710482,-1.3713761166185277,RGI60-08.01258
1988,-0.8829822890853551,1.788262390036022,-2.6712446791213775,RGI60-08.01258
1989,-0.14334806980663825,2.0892108352489975,-2.232558905055636,RGI60-08.01258
1990,-0.43534530144345956,2.0107967608851816,-2.446142062328641,RGI60-08.01258
1991,-0.10297477159867252,1.9956553557046006,-2.098630127303273,RGI60-08.01258
1992,-0.2607385964838245,2.062538032735207,-2.3232766292190314,RGI60-08.01258
1993,0.5782622623820846,2.186744257791476,-1.6084819954093919,RGI60-08.01258
1994,-0.7313419371472678,1.4682803625096996,-2.1996222996569674,RGI60-08.01258
1995,-0.06524943466869033,1.8323422200498531,-1.8975916547185432,RGI60-08.01258
1996,-0.11690760639071579,2.0714626197579173,-2.1883702261486326,RGI60-08.01258
1997,-0.7139790095425644,2.2692700088989164,-2.983249018441481,RGI60-08.01258
1998,-0.8240197368554678,1.4131963909219862,-2.237216127777454,RGI60-08.01258
1999,-1.301973207442545,1.2686680555109708,-2.570641262953516,RGI60-08.01258
2000,-0.11591706691880792,2.0375699609307834,-2.1534870278495912,RGI60-08.01258
2001,-1.4875430400291134,1.2968122655549825,-2.784355305584096,RGI60-08.01258
2002,-0.7884072177892422,2.0773787617160933,-2.8657859795053358,RGI60-08.01258
2003,-0.6383383576847744,1.9238983810546872,-2.562236738739462,RGI60-08.01258
2004,-0.9919027144864903,1.7573036668355333,-2.7492063813220238,RGI60-08.01258
2005,-1.014394497632555,1.709273461797503,-2.723667959430058,RGI60-08.01258
2006,-1.06798603378485,1.6372421088789797,-2.7052281426638296,RGI60-08.01258
2007,-0.501059793660758,2.022328215595696,-2.523388009256454,RGI60-08.01258
2008,-0.1566750210187249,1.5807341693416426,-1.7374091903603677,RGI60-08.01258
2009,-0.8064934950606867,1.374657853523503,-2.18115134858419,RGI60-08.01258
2010,-0.6438402230612426,1.2855474192352982,-1.9293876422965406,RGI60-08.01258
2011,-1.5673165540864795,1.7442680326257305,-3.3115845867122102,RGI60-08.01258
2012,-0.19752380485812224,1.6662547833584356,-1.863778588216558,RGI60-08.01258
2013,-2.2306826421005645,1.7779937553739678,-4.008676397474532,RGI60-08.01258
2014,-1.1227378172244913,1.6952675024646835,-2.818005319689175,RGI60-08.01258
2015,-1.0585954173633223,1.344040743862394,-2.402636161225716,RGI60-08.01258
2016,-1.479856855080952,1.6747446671741326,-3.1546015222550845,RGI60-08.01258
2017,-0.7487821631595705,1.8037976104921654,-2.5525797736517357,RGI60-08.01258
2018,-1.7075594066695607,1.3680061664019627,-3.0755655730715237,RGI60-08.01258
2019,-0.569361655397421,1.5299823279908848,-2.0993439833883056,RGI60-08.01258
1961,-1.280223797477943,2.12088186417975,-3.4011056616576933,RGI60-08.01286
1962,-0.287172049307429,2.0730984331329663,-2.3602704824403955,RGI60-08.01286
1963,-2.271878076353123,1.2624122284289458,-3.534290304782069,RGI60-08.01286
1964,0.19869324208529848,2.0121722488606766,-1.8134790067753777,RGI60-08.01286
1965,-0.4493792949732993,2.6373179757879006,-3.0866972707612,RGI60-08.01286
1966,-1.248511332843189,1.4365536881289571,-2.685065020972146,RGI60-08.01286
1967,0.8389308537226096,3.6028087187921503,-2.7638778650695417,RGI60-08.01286
1968,0.401860036378896,3.9298670562230162,-3.5280070198441202,RGI60-08.01286
1969,-2.302243368762978,1.588694913638918,-3.8909382824018963,RGI60-08.01286
1970,-1.0958399589473744,2.096001265406063,-3.1918412243534378,RGI60-08.01286
1971,0.36178559581680697,3.0436184801234734,-2.681832884306666,RGI60-08.01286
1972,0.6123137387206543,3.7977700647674664,-3.185456326046812,RGI60-08.01286
1973,1.5695051080388418,4.131687532325275,-2.562182424286432,RGI60-08.01286
1974,-0.26072989620819365,3.004856046585538,-3.2655859427937317,RGI60-08.01286
1975,0.5108563929934973,3.3064562906622896,-2.795599897668792,RGI60-08.01286
1976,2.17678213752042,4.938416034947172,-2.7616338974267522,RGI60-08.01286
1977,-0.9111328076752583,1.3002803957585032,-2.2114132034337617,RGI60-08.01286
1978,-1.2056265196287235,1.7976421905232596,-3.0032687101519833,RGI60-08.01286
1979,1.6058164592556639,3.439727129536699,-1.8339106702810357,RGI60-08.01286
1980,-1.724258236766711,2.124145981278665,-3.8484042180453764,RGI60-08.01286
1981,0.6125799405103199,3.782924181530234,-3.170344241019914,RGI60-08.01286
1982,-0.7347317612714892,2.286564855498797,-3.0212966167702864,RGI60-08.01286
1983,0.9232382980193723,3.8365327661907447,-2.913294468171373,RGI60-08.01286
1984,0.6269280907682816,3.8348421276280256,-3.2079140368597443,RGI60-08.01286
1985,0.36788587997264816,2.804991430344105,-2.437105550371457,RGI60-08.01286
1986,-0.19291347662813607,2.053490142082203,-2.246403618710339,RGI60-08.01286
1987,1.4593936951159912,3.4203467574184416,-1.9609530623024505,RGI60-08.01286
1988,-1.9138250163663142,2.2814254467312214,-4.195250463097536,RGI60-08.01286
1989,2.0389003794649545,4.6920519463172425,-2.6531515668522894,RGI60-08.01286
1990,2.448904043792329,5.793577192506383,-3.3446731487140533,RGI60-08.01286
1991,-0.4594284596501639,2.2616695697258318,-2.721098029375996,RGI60-08.01286
1992,-0.00375868577850641,3.760138354801516,-3.763897040580023,RGI60-08.01286
1993,2.068491767951937,4.411467004575831,-2.3429752366238943,RGI60-08.01286
1994,0.08220850243123454,3.0134569861364175,-2.931248483705183,RGI60-08.01286
1995,0.6042133557221029,3.7474833423240024,-3.1432699866019,RGI60-08.01286
1996,-0.6908219110456546,2.1765972791960135,-2.867419190241668,RGI60-08.01286
1997,-0.21814540511440755,4.065082484507853,-4.283227889622261,RGI60-08.01286
1998,0.13015551439932882,3.102568816005264,-2.9724133016059344,RGI60-08.01286
1999,-0.22195278521592732,3.3755062747402165,-3.597459059956144,RGI60-08.01286
2000,1.8245066539717096,4.830111440976851,-3.005604787005142,RGI60-08.01286
2001,-1.7481921191814054,1.549993285914207,-3.2981854050956123,RGI60-08.01286
2002,-1.4650564653893468,3.6788778258322674,-5.143934291221614,RGI60-08.01286
2003,-2.1652351820182263,1.90012460950711,-4.065359791525336,RGI60-08.01286
2004,-1.1846314712902974,2.5463824814501836,-3.731013952740481,RGI60-08.01286
2005,0.8153966184974171,4.0860545634197925,-3.2706579449223767,RGI60-08.01286
2006,-2.4206170561413836,2.5483120593474613,-4.968929115488844,RGI60-08.01286
2007,1.1145883476068243,4.058462269234539,-2.943873921627715,RGI60-08.01286
2008,-0.5158569169484386,3.8327183033935865,-4.348575220342025,RGI60-08.01286
2009,-1.1121918335059373,3.1084911693605854,-4.220683002866523,RGI60-08.01286
2010,-1.8180297038822086,1.5760069820787974,-3.394036685961006,RGI60-08.01286
2011,-0.9035499285638559,3.0496388321434758,-3.9531887607073317,RGI60-08.01286
2012,1.6886662515004494,4.445771994450411,-2.757105742949961,RGI60-08.01286
2013,-2.1032136270005948,1.9807239526761293,-4.083937579676724,RGI60-08.01286
2014,-1.3188361323763769,3.2812492802307034,-4.60008541260708,RGI60-08.01286
2015,0.713076375629615,3.9715916010597114,-3.258515225430096,RGI60-08.01286
2016,-0.8654660587745673,3.4801626069332183,-4.345628665707786,RGI60-08.01286
2017,-0.4758667128125714,3.299928036285727,-3.7757947490982984,RGI60-08.01286
2018,-2.0003546361587428,2.7074178902745407,-4.707772526433284,RGI60-08.01286
2019,-1.095674370259228,2.5568410429577377,-3.6525154132169657,RGI60-08.01286
1961,-1.3668717132623092,2.70002285950702,-4.066894572769329,RGI60-08.01484
1962,-0.7671944817798855,1.8585321369896919,-2.625726618769577,RGI60-08.01484
1963,-0.5939348775545001,3.9962593957986736,-4.590194273353174,RGI60-08.01484
1964,2.408748175687826,4.464157008622504,-2.055408832934678,RGI60-08.01484
1965,0.22216405855188393,3.5652702613293954,-3.3431062027775114,RGI60-08.01484
1966,-0.4777418328852959,1.8217504879863786,-2.2994923208716744,RGI60-08.01484
1967,-0.7934277782624891,2.7665756485347455,-3.560003426797234,RGI60-08.01484
1968,0.4858360625790348,3.209614804679302,-2.7237787421002677,RGI60-08.01484
1969,-1.8443917287080915,2.2847516648764983,-4.12914339358459,RGI60-08.01484
1970,-1.6221559622738084,2.3659094455882017,-3.9880654078620106,RGI60-08.01484
1971,0.5634629064756922,3.132496094410209,-2.569033187934517,RGI60-08.01484
1972,-0.2698617260770381,3.6381205568370065,-3.9079822829140456,RGI60-08.01484
1973,2.045852170649951,5.1242767984457895,-3.078424627795839,RGI60-08.01484
1974,-0.4185708095828513,3.894217534489029,-4.31278834407188,RGI60-08.01484
1975,1.1856351167823045,2.9126234353395555,-1.726988318557251,RGI60-08.01484
1976,2.333450560307247,4.8701984929798385,-2.536747932672591,RGI60-08.01484
1977,0.10399736134234572,2.2375179403439547,-2.133520579001609,RGI60-08.01484
1978,-1.0907373610430675,2.474555447632433,-3.5652928086755007,RGI60-08.01484
1979,0.5516155724970621,3.542330255561951,-2.990714683064889,RGI60-08.01484
1980,-2.1965198197513423,2.4312805105233015,-4.627800330274645,RGI60-08.01484
1981,0.6146423547959377,3.6033184257598503,-2.988676070963913,RGI60-08.01484
1982,1.0660058740326759,3.144294935459892,-2.078289061427216,RGI60-08.01484
1983,-0.5453582345075516,2.8256000841222475,-3.3709583186297998,RGI60-08.01484
1984,0.4131091617138276,3.999645335647154,-3.5865361739333266,RGI60-08.01484
1985,-1.2950354484295385,1.9755402297264628,-3.2705756781560016,RGI60-08.01484
1986,0.11117465430436663,3.1356056673706023,-3.0244310130662364,RGI60-08.01484
1987,0.4655152329600841,3.020362200036873,-2.5548469670767884,RGI60-08.01484
1988,-1.8505674080259595,2.4144711093411773,-4.265038517367137,RGI60-08.01484
1989,2.339018910232961,5.252289275690709,-2.9132703654577483,RGI60-08.01484
1990,0.6687830073811263,4.5452945620976575,-3.8765115547165303,RGI60-08.01484
1991,0.7633337823281263,3.493622364973181,-2.7302885826450543,RGI60-08.01484
1992,1.1343687333023675,4.805607550877281,-3.671238817574913,RGI60-08.01484
1993,1.5305612818963776,4.336508258215693,-2.8059469763193157,RGI60-08.01484
1994,-0.9272449903338669,2.131607525674462,-3.058852516008329,RGI60-08.01484
1995,1.4872662511264987,4.317720033509358,-2.8304537823828593,RGI60-08.01484
1996,-0.004951202971289592,3.4851326727444363,-3.490083875715726,RGI60-08.01484
1997,0.6522763320655014,5.04825162558085,-4.395975293515349,RGI60-08.01484
1998,-0.4600299848029926,3.2175826802943357,-3.677612665097328,RGI60-08.01484
1999,-1.1175685139925755,2.486197864301759,-3.6037663782943343,RGI60-08.01484
2000,1.0894970749495938,4.421380973613295,-3.3318838986637016,RGI60-08.01484
2001,-1.9775181233328811,1.6221465528083545,-3.5996646761412356,RGI60-08.01484
2002,-0.9266998812535615,4.077426709451355,-5.004126590704917,RGI60-08.01484
2003,-1.6877711326809202,2.529119708399059,-4.216890841079979,RGI60-08.01484
2004,-0.9679436221669294,2.9327454658769625,-3.9006890880438916,RGI60-08.01484
2005,-0.5148004298888849,3.268910107415328,-3.7837105373042133,RGI60-08.01484
2006,-1.6985439083217486,3.014678483875253,-4.713222392197002,RGI60-08.01484
2007,0.8088630524533614,4.369432191054482,-3.5605691386011196,RGI60-08.01484
2008,-0.061042853604267755,3.312431016581975,-3.3734738701862432,RGI60-08.01484
2009,-0.9957062180587639,3.349942675173865,-4.345648893232629,RGI60-08.01484
2010,-1.0852921035175214,2.401183246407772,-3.486475349925293,RGI60-08.01484
2011,-0.7543388414189693,3.934073440532142,-4.688412281951112,RGI60-08.01484
2012,1.0150962656539018,3.766978623936596,-2.7518823582826935,RGI60-08.01484
2013,-2.5051089533369826,2.4651046028410057,-4.970213556177988,RGI60-08.01484
2014,-0.886780925437025,3.6521762655061023,-4.538957190943127,RGI60-08.01484
2015,0.017608652738490216,3.803701741405541,-3.7860930886670507,RGI60-08.01484
2016,-0.672037700152593,3.780549331321571,-4.452587031474163,RGI60-08.01484
2017,0.5906078152595846,4.439936293478028,-3.8493284782184443,RGI60-08.01484
2018,-1.8644929854288559,2.9756769528091156,-4.840169938237971,RGI60-08.01484
2019,-0.08039484612165732,3.7734181083659024,-3.8538129544875597,RGI60-08.01484
1961,-1.4533859955770811,2.3924438928279415,-3.845829888405022,RGI60-08.01598
1962,-0.7072016353204049,1.642929694914752,-2.3501313302351567,RGI60-08.01598
1963,-0.8233347711345218,3.5544742597609034,-4.377809030895425,RGI60-08.01598
1964,1.9447578984466418,3.9030965583957613,-1.9583386599491195,RGI60-08.01598
1965,0.03891915075193231,3.0652359438630317,-3.026316793111099,RGI60-08.01598
1966,-0.5407387655642084,1.6280032219173943,-2.1687419874816025,RGI60-08.01598
1967,-0.634995318674623,2.509524970875623,-3.144520289550246,RGI60-08.01598
1968,0.4806741203448961,2.827991128389799,-2.347317008044903,RGI60-08.01598
1969,-1.91264200467543,2.0890157068509696,-4.0016577115264,RGI60-08.01598
1970,-1.5911236512411342,2.119896183373693,-3.7110198346148273,RGI60-08.01598
1971,0.4386296663317644,2.807205789134863,-2.368576122803099,RGI60-08.01598
1972,-0.6188950687099353,3.147368399726635,-3.7662634684365703,RGI60-08.01598
1973,1.7062357246488138,4.528238975112718,-2.822003250463904,RGI60-08.01598
1974,-0.6778114364257863,3.4589098770190025,-4.13672131344479,RGI60-08.01598
1975,1.244303679563077,2.554553820204041,-1.310250140640964,RGI60-08.01598
1976,1.9179514858530982,4.136443380459168,-2.2184918946060708,RGI60-08.01598
1977,0.2659382920754762,2.008346770328263,-1.7424084782527864,RGI60-08.01598
1978,-1.0878957450469715,2.2825150265014327,-3.3704107715484044,RGI60-08.01598
1979,0.26593716182003146,3.0559340006240774,-2.7899968388040457,RGI60-08.01598
1980,-2.017930631303768,2.278237457814988,-4.296168089118756,RGI60-08.01598
1981,0.5892434073464748,3.196730682450773,-2.6074872751042983,RGI60-08.01598
1982,0.927170781227492,2.8161775721887072,-1.8890067909612154,RGI60-08.01598
1983,-0.27734043864567703,2.613109222713457,-2.8904496613591344,RGI60-08.01598
1984,0.2857894092837223,3.5269401338127526,-3.2411507245290303,RGI60-08.01598
1985,-1.1606143440128371,1.8552988691578993,-3.015913213170736,RGI60-08.01598
1986,-0.06265150021771057,2.7069078270291778,-2.7695593272468884,RGI60-08.01598
1987,0.42209954422317303,2.6933523942828455,-2.271252850059673,RGI60-08.01598
1988,-1.9104370011019807,1.9873730415223676,-3.8978100426243487,RGI60-08.01598
1989,1.970685224171294,4.603220675701577,-2.632535451530282,RGI60-08.01598
1990,0.3399580517940123,3.9625917836152493,-3.622633731821238,RGI60-08.01598
1991,0.5123493986856518,3.0858734249766133,-2.5735240262909613,RGI60-08.01598
1992,1.0328707842559066,4.365935057778011,-3.3330642735221048,RGI60-08.01598
1993,1.2900435644173167,3.8338211057656757,-2.5437775413483594,RGI60-08.01598
1994,-0.6316460585142318,2.0637907553405728,-2.6954368138548044,RGI60-08.01598
1995,1.4764185647167485,3.9743081535567475,-2.497889588839998,RGI60-08.01598
1996,0.021925396292694466,3.145536137097008,-3.1236107408043137,RGI60-08.01598
1997,0.2897263988811255,4.41819377535425,-4.128467376473124,RGI60-08.01598
1998,-0.4587694781274907,2.9103201053635432,-3.369089583491034,RGI60-08.01598
1999,-0.8840695043778752,2.4297948786111614,-3.3138643829890366,RGI60-08.01598
2000,0.997546343248872,3.9105856892218185,-2.913039345972947,RGI60-08.01598
2001,-1.8454552918004608,1.4123867026713268,-3.2578419944717876,RGI60-08.01598
2002,-1.0824364070293206,3.6110987147675786,-4.6935351217969,RGI60-08.01598
2003,-1.6367226614832846,2.322943023965003,-3.9596656854482877,RGI60-08.01598
2004,-0.7762829363660764,2.7438326006344376,-3.520115537000514,RGI60-08.01598
2005,-0.26690802167526384,2.9931539602865254,-3.260061981961789,RGI60-08.01598
2006,-1.6632960458060126,2.7228182225420845,-4.386114268348097,RGI60-08.01598
2007,0.3127786461806633,3.6666181395128588,-3.3538394933321953,RGI60-08.01598
2008,-0.3914973952625288,2.9430577023308375,-3.334555097593366,RGI60-08.01598
2009,-0.9144602582553478,3.0180145843319286,-3.9324748425872764,RGI60-08.01598
2010,-0.9199491124923646,2.255052726674799,-3.1750018391671637,RGI60-08.01598
2011,-0.9779148035779289,3.4359547716542194,-4.413869575232149,RGI60-08.01598
2012,0.7311527886647688,3.205720280667809,-2.47456749200304,RGI60-08.01598
2013,-2.201294274816236,2.4302739384480145,-4.6315682132642495,RGI60-08.01598
2014,-1.0576140364953472,3.176461459823992,-4.234075496319339,RGI60-08.01598
2015,-0.2611924431601139,3.2248332868975704,-3.486025730057684,RGI60-08.01598
2016,-0.725804501516224,3.3217842441908445,-4.047588745707069,RGI60-08.01598
2017,0.12798852613898115,3.8361994534619264,-3.7082109273229444,RGI60-08.01598
2018,-1.723389935339374,2.709299440835799,-4.432689376175173,RGI60-08.01598
2019,-0.3166043504551171,3.299861865671403,-3.61646621612652,RGI60-08.01598
1961,-1.088610692288101,2.0809468042474553,-3.1695574965355564,RGI60-08.01657
1962,-0.13127106774530145,1.5106426785754494,-1.6419137463207507,RGI60-08.01657
1963,-0.41747017998349784,3.0437699504449935,-3.461240130428491,RGI60-08.01657
1964,2.023903495208814,3.390432750740821,-1.3665292555320077,RGI60-08.01657
1965,0.44566021263944233,2.838855631017524,-2.3931954183780815,RGI60-08.01657
1966,-0.4608605951022055,1.3883777798954429,-1.8492383749976484,RGI60-08.01657
1967,-0.21759904941101316,2.1746583342748664,-2.39225738368588,RGI60-08.01657
1968,0.7620339086031815,2.424621988468406,-1.6625880798652248,RGI60-08.01657
1969,-1.5706913691117053,1.8134056474206983,-3.3840970165324036,RGI60-08.01657
1970,-1.153760552905471,1.8108305851228683,-2.9645911380283394,RGI60-08.01657
1971,0.6679669607784895,2.4241506611309873,-1.756183700352498,RGI60-08.01657
1972,-0.445316822503199,2.718493523274126,-3.163810345777325,RGI60-08.01657
1973,1.7080095331050698,3.884006967288177,-2.175997434183106,RGI60-08.01657
1974,-0.4075111597764367,3.0034770266556006,-3.410988186432037,RGI60-08.01657
1975,1.6073220277695786,2.2126277549154114,-0.605305727145833,RGI60-08.01657
1976,1.9071646228800851,3.5689184588558596,-1.6617538359757744,RGI60-08.01657
1977,0.4168441735790407,1.7361180607506181,-1.3192738871715777,RGI60-08.01657
1978,-0.8387964719677721,1.9636790118718384,-2.8024754838396104,RGI60-08.01657
1979,0.4575897582197395,2.6489863097519533,-2.1913965515322134,RGI60-08.01657
1980,-1.6235271440417542,1.9675470683531149,-3.5910742123948687,RGI60-08.01657
1981,0.9682720228982317,2.775717482432801,-1.8074454595345693,RGI60-08.01657
1982,1.0890164215926454,2.4340684606986103,-1.3450520391059648,RGI60-08.01657
1983,0.38640169723252266,2.2430642197559014,-1.8566625225233788,RGI60-08.01657
1984,0.6279940995583689,3.04292596119591,-2.4149318616375415,RGI60-08.01657
1985,-0.783424623905015,1.591698063413498,-2.375122687318513,RGI60-08.01657
1986,0.13609720368715256,2.317549692818384,-2.1814524891312312,RGI60-08.01657
1987,0.6587926236931776,2.30354460659615,-1.6447519829029722,RGI60-08.01657
1988,-1.2009346659842282,1.8906125418526982,-3.091547207836926,RGI60-08.01657
1989,2.1278027678416684,3.9695069485382017,-1.8417041806965329,RGI60-08.01657
1990,0.414510579502416,3.4071943984903497,-2.992683818987934,RGI60-08.01657
1991,0.5766285207418236,2.6546016855939105,-2.077973164852087,RGI60-08.01657
1992,1.1882580594654493,3.759283999049991,-2.5710259395845423,RGI60-08.01657
1993,1.3506274923199606,3.323765646119348,-1.9731381537993875,RGI60-08.01657
1994,-0.21724255031442583,1.7804236335490062,-1.997666183863432,RGI60-08.01657
1995,1.5983116745450394,3.436388496287883,-1.8380768217428438,RGI60-08.01657
1996,0.28553215698279866,2.6993838125176546,-2.413851655534856,RGI60-08.01657
1997,0.32038541371742446,3.8157659463191953,-3.495380532601771,RGI60-08.01657
1998,-0.2235165964360073,2.519993722138485,-2.7435103185744927,RGI60-08.01657
1999,-0.6314063317254719,2.0858962427742895,-2.717302574499762,RGI60-08.01657
2000,1.3597824845197675,3.342985261857565,-1.9832027773377976,RGI60-08.01657
2001,-1.3436027945478006,1.3173059260846685,-2.660908720632469,RGI60-08.01657
2002,-0.6505600427024669,3.1043436636895487,-3.754903706392016,RGI60-08.01657
2003,-1.1146446515452832,2.0154059044893975,-3.1300505560346803,RGI60-08.01657
2004,-0.33790255967036753,2.3530383384350086,-2.6909408981053757,RGI60-08.01657
2005,0.07626885909514394,2.572584077455462,-2.496315218360318,RGI60-08.01657
2006,-1.2477989931738929,2.360424248650374,-3.608223241824267,RGI60-08.01657
2007,0.44949144339309555,3.14624538907433,-2.696753945681235,RGI60-08.01657
2008,-0.08340313034950166,2.5481192194153706,-2.631522349764872,RGI60-08.01657
2009,-0.37415684858610543,2.5832286041580157,-2.957385452744121,RGI60-08.01657
2010,-0.5130631394761664,1.9431588189550473,-2.4562219584312137,RGI60-08.01657
2011,-0.734827028279863,2.9408984471288315,-3.675725475408695,RGI60-08.01657
2012,0.9690838053181863,2.790745045645802,-1.8216612403276158,RGI60-08.01657
2013,-1.7201557477193357,2.097174109116589,-3.817329856835925,RGI60-08.01657
2014,-0.7697387746241618,2.7252273054571234,-3.4949660800812854,RGI60-08.01657
2015,-0.0017838175571618375,2.7779655212297083,-2.77974933878687,RGI60-08.01657
