glacier_id;utm_zone;utm_east3;utm_north4;altitude5;location_description;location_id;stake_no;altitude;utm_east;utm_north;balance_winter;balance_summer;balance_netto;dt_prev_year_min_date;dt_curr_year_max_date;dt_curr_year_min_date;stake_remark;flag_correction
3129;32;357800;6661800;1400;;RUK54;RUK54;1405;357818;6661801;2.65;-1.62;1.03;02.10.1963 00:00;04.05.1964 00:00;04.10.1964 00:00;Tilleggsakkumulasjon ble målt 28. mai;
3129;32;357800;6661800;1400;;RUK54;RUK54;1402;357806;6661762;;-2.4;;04.10.1964 00:00;26.03.1965 00:00;09.10.1965 00:00;;
3129;32;357800;6661800;1400;;RUK54;RUK54;1413;357834;6661868;2.1;-3.51;-1.41;09.10.1965 00:00;28.05.1966 00:00;28.10.1966 00:00;Inkludert tilleggsakkumulasjon;
3129;32;357800;6661800;1400;;RUK54;RUK5465;1412;357837;6661865;3.03;-2.7;0.33;28.10.1966 00:00;29.04.1967 00:00;24.11.1967 00:00;bv er hentet fra RUK5467;
3129;32;357700;6661900;1440;;RUK55;RUK55;1440;357747;6661891;2.77;-1.53;1.24;02.10.1963 00:00;04.05.1964 00:00;04.10.1964 00:00;Tilleggsakkumulasjon ble målt 28. mai;
3129;32;357700;6661900;1440;;RUK55;RUK55;1450;357702;6661878;;-2.1;;04.10.1964 00:00;26.03.1965 00:00;09.10.1965 00:00;;
3129;32;357700;6661900;1440;;RUK55;RUK5568;1474;357674;6661987;;-2.67;;24.11.1967 00:00;15.03.1968 00:00;06.11.1968 00:00;;
3129;32;357600;6662000;1490;;RUK56;RUK56;1490;357637;6662026;2.15;-1.57;0.58;02.10.1963 00:00;04.05.1964 00:00;04.10.1964 00:00;Tilleggsakkumulasjon ble målt 28. mai;
3129;32;357600;6662000;1490;;RUK56;RUK5665;1522;357575;6662204;2.04;-2.99;-0.95;09.10.1965 00:00;28.05.1966 00:00;28.10.1966 00:00;Inkludert tilleggsakkumulasjon;
3129;32;357500;6662200;1530;;RUK57;RUK57;1527;357514;6662185;1.65;-1.44;0.21;02.10.1963 00:00;04.05.1964 00:00;04.10.1964 00:00;Tilleggsakkumulasjon ble målt 28. mai;
3129;32;357500;6662200;1530;;RUK57;RUK57;1546;357410;6662218;2.15;-1.9;0.25;04.10.1964 00:00;26.03.1965 00:00;09.10.1965 00:00;;
3129;32;357500;6662200;1530;;RUK57;RUK5765;1549;357384;6662226;1.5;-2.86;-1.36;09.10.1965 00:00;28.05.1966 00:00;28.10.1966 00:00;Inkludert tilleggsakkumulasjon;
3129;32;357500;6662200;1530;;RUK57;RUK5765;1552;357355;6662219;2.93;-1.38;1.55;28.10.1966 00:00;29.04.1967 00:00;24.11.1967 00:00;;
3129;32;357500;6662200;1530;;RUK57;RUK5767;1551;357379;6662256;3.25;-2.35;0.9;24.11.1967 00:00;15.03.1968 00:00;06.11.1968 00:00;;
3129;32;357300;6662500;1570;;RUK58;RUK58;1571;357342;6662518;2.2;-1.29;0.91;02.10.1963 00:00;04.05.1964 00:00;04.10.1964 00:00;Tilleggsakkumulasjon ble målt 28. mai;
3129;32;357300;6662500;1570;;RUK58;RUK58;1587;357260;6662679;1.99;-1.8;0.19;04.10.1964 00:00;26.03.1965 00:00;09.10.1965 00:00;;
3129;32;357300;6662500;1570;;RUK58;RUK58;1590;357306;6662774;1.7;-2.81;-1.11;09.10.1965 00:00;28.05.1966 00:00;28.10.1966 00:00;Inkludert tilleggsakkumulasjon;
3129;32;357300;6662500;1570;;RUK58;RUK5865;1587;357214;6662637;2.77;-1.19;1.58;28.10.1966 00:00;29.04.1967 00:00;24.11.1967 00:00;;
3133;32;350400;6661350;1125;;BON10;BON10;1126;350414;6661357;;-6;;;11.05.1977 00:00;20.09.1977 00:00;;
3133;32;350400;6661350;1125;;BON10;BON10;1099;350346;6661440;;-5.75;;20.09.1977 00:00;08.05.1978 00:00;28.08.1978 00:00;>-5.75;
3133;32;350400;6661350;1125;;BON10;BON10;1136;350465;6661337;;-4.81;;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;350400;6661350;1125;;BON10;BON10;1128;350425;6661357;0.57;-5.88;-5.31;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 12;
3133;32;350400;6661350;1125;;BON10;BON10;1139;350373;6661250;0.95;-6.05;-5.1;24.11.1980 00:00;30.04.1981 00:00;27.08.1981 00:00;Nå stakenr. 24;
3133;32;351000;6657350;1600;;BON100;BON100;1600;350973;6657364;;-2.4;;;11.05.1977 00:00;20.09.1977 00:00;;
3133;32;351000;6657350;1600;;BON100;BON100;1600;350970;6657300;1.99;-2.09;-0.1;20.09.1977 00:00;08.05.1978 00:00;28.08.1978 00:00;;
3133;32;351000;6657350;1600;;BON100;BON100;1599;350987;6657402;;-2.27;;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;351000;6657350;1600;;BON100;BON100;1599;350987;6657402;2.71;-1.97;0.74;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå staker. 105;
3133;32;351800;6658400;1580;;BON102;BON102;1580;351765;6658413;;-2.66;;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;;
3133;32;351800;6658400;1580;;BON102;BON102;1581;351862;6658430;3.93;-0.95;2.98;24.11.1980 00:00;30.04.1981 00:00;27.08.1981 00:00;;
3133;32;351000;6656500;1630;;BON110;BON110;1632;350972;6656496;3.35;-1.95;1.4;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;351000;6656500;1630;;BON110;BON110;1632;350972;6656496;3.15;-2.03;1.12;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 116;
3133;32;350200;6661300;1130;;BON20;BON20;1129;350183;6661277;;-6.3;;;11.05.1977 00:00;20.09.1977 00:00;;
3133;32;350200;6661300;1130;;BON20;BON20;1099;350239;6661428;;-6.7;;20.09.1977 00:00;08.05.1978 00:00;28.08.1978 00:00;>-6.7 m;
3133;32;350200;6661300;1130;;BON20;BON20;1143;350268;6661220;;-4.32;;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;350200;6661300;1130;;BON20;BON20;1131;350261;6661284;0.57;-5.48;-4.91;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 18;
3133;32;350600;6660900;1201;;BON30;BON30;1201;350301;6660923;;-5.05;;;11.05.1977 00:00;20.09.1977 00:00;;
3133;32;350600;6660900;1201;;BON30;BON30;1167;350573;6661127;;-3.45;;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;350100;6657900;1565;;BON4;BON4;1565;350133;6657924;;-2.4;;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;350100;6657900;1565;;BON4;BON4;1565;350133;6657924;2.68;-2.25;0.43;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 108;
3133;32;350100;6657900;1565;;BON4;BON4;1565;350134;6657921;3.8;-0.89;2.91;24.11.1980 00:00;30.04.1981 00:00;27.08.1980 00:00;Nå stakenr. 108;
3133;32;350300;6660800;1225;;BON40;BON40;1223;350301;6660803;;-5.55;;;11.05.1977 00:00;20.09.1977 00:00;;
3133;32;350300;6660800;1225;;BON40;BON40;1156;350325;6661142;;-3.67;;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;351000;6658700;1500;;BON5;BON5;1498;350992;6658716;2.75;-2.19;0.56;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
