glacier_id,utm_zone,utm_east_approx,utm_north_approx,altitude_approx,location_description,location_id,stake_no,altitude,utm_east,utm_north,balance_winter,balance_summer,balance_netto,dt_prev_year_min_date,dt_curr_year_max_date,dt_curr_year_min_date,stake_remark,flag_correction,approx_loc,approx_altitude,diff_north,diff_east,diff_altitude,lat,lon,lat_approx,lon_approx
54,34,528290.0,7780290.0,635.0,,L20,L2089,615.0,528900.0,7780200.0,,,-0.85,22.09.1992 00:00,15.05.1993 00:00,22.09.1993 00:00,,,N,N,-90.0,610.0,-20.0,70.12685091424017,21.7617630522422,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2090,651.0,528690.0,7780240.0,2.52,-3.2,-0.68,19.10.1989 00:00,24.05.1990 00:00,05.09.1990 00:00,,,N,N,-50.0,400.0,16.0,70.12723302523783,21.756241444511854,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2091,690.0,528410.0,7780275.0,2.77,-2.57,0.2,05.09.1990 00:00,14.05.1991 00:00,04.10.1991 00:00,,,N,N,-15.0,120.0,55.0,70.12757785943124,21.74887304308605,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2091,679.0,528485.0,7780280.0,2.47,-2.69,-0.23,04.10.1991 00:00,03.06.1992 00:00,22.09.1992 00:00,,,N,N,-10.0,195.0,44.0,70.12761441356855,21.750851415916735,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2091,675.0,528535.0,7780285.0,,,-0.39,22.09.1992 00:00,15.05.1993 00:00,22.09.1993 00:00,,,N,N,-5.0,245.0,40.0,70.12765371469648,21.752170877326016,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2092,680.0,528480.0,7780280.0,2.49,-2.55,-0.06,04.10.1991 00:00,03.06.1992 00:00,22.09.1992 00:00,,,N,N,-10.0,190.0,45.0,70.12761496607659,21.750719632445357,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2092,675.0,528536.0,7780284.0,,,-0.02,22.09.1992 00:00,15.05.1993 00:00,22.09.1993 00:00,,,N,N,-6.0,246.0,40.0,70.12764463768073,21.75219690862792,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2096,675.0,528530.0,7780280.0,1.9,-1.99,-0.09,,24.05.1996 00:00,16.10.1996 00:00,,netto,N,N,-10.0,240.0,40.0,70.12760943663241,21.752037466822106,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2096,674.0,528550.0,7780290.0,2.74,-3.91,-1.17,16.10.1996 00:00,10.06.1997 00:00,02.10.1997 00:00,,,N,N,0.0,260.0,39.0,70.12769688521482,21.75256785629541,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2098,677.0,528535.0,7780340.0,1.54,-3.7,-2.16,02.10.1997 00:00,03.06.1998 00:00,01.10.1998 00:00,bs er delvis estimert,,N,N,50.0,245.0,42.0,70.12814686164063,21.752188776002974,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2098,681.0,528470.0,7780275.0,1.11,-3.94,-2.84,01.10.1998 00:00,25.05.1999 00:00,25.09.1999 00:00,,,N,N,-15.0,180.0,46.0,70.12757123924213,21.750454442085324,70.12772555274043,21.74571508128984
